heldout_user,n,MAE,RMSE,rho
U01,13,1.0094125845591009,1.195127690259719,-0.432073864167329
U02,11,1.6416404523773522,1.9048620780754568,0.1349308901982226
U03,5,2.2818735231874867,2.4034955766928525,0.6742313729533872
U04,5,1.5718035037245013,1.8121158276603129,0.3771874295766751
U05,4,1.1378959975288048,1.1850934521863803,
U06,4,1.0193791805952557,1.1304505484906686,
U12,3,2.058180993956682,2.5045205872403433,
U11,3,1.7520285932523103,1.9570720186980304,
U10,3,0.5365906292316373,0.5394831746766016,
U09,3,0.3053967246216811,0.3230191943059337,
U08,3,1.9200570459088293,2.003453101497867,
U07,3,1.8547427165870116,2.2997274752292647,
U13,2,0.6053395418830636,0.6733028114565032,
U14,2,1.8176344569209368,1.867592633486154,
U15,2,1.5114804283649603,1.607455864769464,
U16,1,0.4045418449487403,0.4045418449487403,
U17,1,2.6435643708616325,2.6435643708616325,
U18,1,3.098496417332351,3.098496417332351,
U19,1,1.3248524629516094,1.3248524629516094,
